,coef,std err,z,P>|z|,[0.025,0.975]
Intercept,    5.6322,    0.000, 1.49e+04, 0.000,    5.632,    5.633
estado[T.Baja California],    1.2960,    0.000, 3084.105, 0.000,    1.295,    1.297
estado[T.Baja California Sur],   -0.4179,    0.001, -600.918, 0.000,   -0.419,   -0.417
estado[T.Campeche],   -1.0321,    0.001,-1163.155, 0.000,   -1.034,   -1.030
estado[T.Chiapas],    0.1449,    0.001,  259.925, 0.000,    0.144,    0.146
estado[T.Chihuahua],    0.4744,    0.000, 1056.116, 0.000,    0.474,    0.475
estado[T.Ciudad de México],    2.6640,    0.000, 6969.306, 0.000,    2.663,    2.665
estado[T.Coahuila],   -0.2369,    0.001, -429.495, 0.000,   -0.238,   -0.236
estado[T.Colima],   -0.3430,    0.001, -516.548, 0.000,   -0.344,   -0.342
estado[T.Desconocida],   -0.3055,    0.003,  -95.926, 0.000,   -0.312,   -0.299
estado[T.Durango],   -0.6032,    0.001, -907.452, 0.000,   -0.604,   -0.602
estado[T.Estado de México],    2.9578,    0.000, 7737.453, 0.000,    2.957,    2.959
estado[T.Extranjero],   -0.0052,    0.002,   -2.980, 0.003,   -0.009,   -0.002
estado[T.Guanajuato],    1.5926,    0.000, 3936.998, 0.000,    1.592,    1.593
estado[T.Guerrero],    0.9347,    0.000, 1957.334, 0.000,    0.934,    0.936
estado[T.Hidalgo],    0.5692,    0.000, 1183.762, 0.000,    0.568,    0.570
estado[T.Jalisco],    2.4905,    0.000, 6466.538, 0.000,    2.490,    2.491
estado[T.Michoacán],    1.2185,    0.000, 2866.128, 0.000,    1.218,    1.219
estado[T.Morelos],    1.0670,    0.000, 2436.808, 0.000,    1.066,    1.068
estado[T.Nayarit],   -0.5001,    0.001, -713.783, 0.000,   -0.501,   -0.499
estado[T.Nuevo León],    1.0132,    0.000, 2467.975, 0.000,    1.012,    1.014
estado[T.Oaxaca],    0.0630,    0.001,  108.376, 0.000,    0.062,    0.064
estado[T.Puebla],    1.8061,    0.000, 4520.856, 0.000,    1.805,    1.807
estado[T.Querétaro],    0.8917,    0.000, 2053.120, 0.000,    0.891,    0.893
estado[T.Quintana Roo],    0.3383,    0.001,  674.533, 0.000,    0.337,    0.339
estado[T.San Luis Potosí],    0.6084,    0.000, 1292.620, 0.000,    0.607,    0.609
estado[T.Sinaloa],    1.3692,    0.000, 3243.062, 0.000,    1.368,    1.370
estado[T.Sonora],    0.3559,    0.000,  728.269, 0.000,    0.355,    0.357
estado[T.Tabasco],    0.9232,    0.000, 2019.118, 0.000,    0.922,    0.924
estado[T.Tamaulipas],    0.3839,    0.000,  778.861, 0.000,    0.383,    0.385
estado[T.Tlaxcala],    0.3270,    0.001,  585.772, 0.000,    0.326,    0.328
estado[T.Veracruz],    1.0930,    0.000, 2550.597, 0.000,    1.092,    1.094
estado[T.Yucatán],   -0.6146,    0.001, -991.907, 0.000,   -0.616,   -0.613
estado[T.Zacatecas],   -0.4810,    0.001, -696.607, 0.000,   -0.482,   -0.480
